Order,SKU,Member,Delivery Date
8099849,15669799,SSCEWZO,14/03/14
8176873,7569803,SWHHREO,21/02/14
7486730,15669976,SSSHLHL,04/08/13
8237822,15668458,SSNZCOL,19/01/14
8083432,15669864,SSLLLZC,04/04/14
8065871,15668381,SSWCOLR,29/03/14
8348887,7653522,SWNLNRZ,04/12/13
8091771,15668460,SSCRENS,07/04/14
8344961,7625566,SSRZOES,03/12/13
7764234,15668471,SWLOOSN,13/01/13
7817216,15668687,SWNHNRN,03/09/12
8320908,21409181,SWHRZHH,24/12/13
7812284,15668689,SWLLESL,21/08/12
8096457,15669887,SWEOOLR,12/03/14
8188075,15670269,SSLSZNC,25/02/14
8065395,7580823,SSZHLRN,28/03/14
7454503,7574425,SWOWCRW,25/08/13
7727449,15670168,SWOZZZE,15/02/13
8198721,15669780,SWCLHHO,02/02/14
8127465,15668687,SSEWSRE,26/02/14
8067510,15669776,SSZNRER,29/03/14
7764234,15668454,SWLOOSN,13/01/13
8120853,93176431,SSLSNCH,23/03/14
8119882,15669832,SSSORWE,23/03/14
7830364,15669860,SWNECLZ,05/10/12
7531263,34987566,SWEEZCC,22/07/13
7585530,15668381,SWOSCLE,02/06/13
7757462,15670163,SWRLWHS,04/01/13
8355025,15669818,SWOCHZL,08/12/13
7825117,7572299,SWLHCLH,17/09/12
8083700,15669886,SWNSCOW,05/04/14
8112726,34987567,SWREHOR,20/03/14
8269031,92302710,SWRLHOS,02/01/14
8093760,15669792,SSESNZL,11/03/14
8071092,7574242,SSLNESH,30/03/14
8069362,15668478,SSRENSZ,30/03/14
7738863,15668457,SWOHOER,11/12/12
8101813,15668381,SSOHWHC,15/03/14
7498596,7642814,SWERCNR,11/08/13
7454503,15668467,SWOWCRW,25/08/13
8064972,7582057,SSORZCC,28/03/14
8080319,15668416,SSNSECH,03/04/14
8065270,15669880,SSRNLNN,28/03/14
7762269,15669983,SWLLWNL,10/01/13
8188075,15669861,SSLSZNC,25/02/14
7369866,15669772,SSWSLLZ,30/10/13
8149114,7594523,SSLLREN,07/03/14
8336683,15669760,SWNCNOL,29/11/13
8192768,15668470,SSNWCSH,29/01/14
8362837,15669814,SWLSCOZ,06/11/13
7703517,15669872,SWNNNNE,17/01/13
8283998,15669760,SSLRELN,09/01/14
7853559,15668379,SWLHSRS,29/05/12
8315583,21408952,SSZRRWR,21/12/13
8342762,15669958,SSWZRHL,02/12/13
8279863,34986329,SWNRHOZ,07/01/14
7782046,15668459,SWNHZEE,04/11/12
7768104,7572310,SWLWNZW,08/10/12
8179947,15668462,SWOCELW,21/02/14
8069362,15668688,SSRENSZ,30/03/14
7525683,15670259,SWOCNOH,19/07/13
7618684,15669857,SWOCCHL,10/05/13
8122275,34987566,SSSCOCW,24/03/14
7603462,15668416,SWLERHS,28/04/13
7382432,7623116,SWRHSEW,29/09/13
8384422,15669860,SSWNRHC,18/11/13
8237822,15668460,SSNZCOL,19/01/14
7602429,15669996,SWELNZO,27/04/13
8116158,15669789,SSCSLSN,21/03/14
7768104,15669878,SWLWNZW,08/10/12
7503858,15669861,SWLRZNL,14/08/13
8145266,21408947,SWNRHWZ,06/03/14
8218426,15669863,SWOOHLC,10/02/14
8106290,15669864,SWLCEZW,17/03/14
8081317,7625765,SWLZSNO,03/04/14
7457237,15668453,SWOLONZ,27/08/13
8102328,15668381,SSLWEEZ,16/03/14
8122589,15669767,SWOOLZW,24/03/14
8113176,93141022,SSWSCEN,21/03/14
8104047,15669832,SWOZECO,16/03/14
8104047,15669886,SWOZECO,16/03/14
8246331,15669872,SWHLESR,24/01/14
8285181,15669780,SSLWWWH,09/01/14
8076206,15668378,SWOEZES,01/04/14
8087495,15669859,SSCZRCZ,05/04/14
8087997,7573381,SWCOLON,06/04/14
7592127,7586509,SWEENCL,08/06/13
8071210,15669772,SWNORRH,31/03/14
8064480,7596673,SSRCENS,28/03/14
8095702,15669835,SWRLOEC,12/03/14
8064972,7623116,SSORZCC,28/03/14
8136539,15669863,SWLLHHC,02/03/14
8070481,34986121,SSSWCLL,30/03/14
7560723,15668379,SSWWRHW,30/06/13
8061961,15668453,SSSCOOH,27/03/14
8065502,15669886,SWHOORR,29/03/14
7414189,15669782,SSSWOZW,09/09/13
8227029,15669799,SSZNOHH,13/01/14
8101018,34990778,SSLREZW,15/03/14
8149114,21410792,SSLLREN,07/03/14
8070710,7572303,SSCLCSW,30/03/14
8276422,15668468,SWEZEOZ,05/01/14
8083255,15669777,SSHHZRO,06/04/14
8273464,7753779,SWECCLC,04/01/14
7862826,15669818,SWLOELR,29/06/12
8374672,15669798,SWNZWNZ,13/11/13
8322799,7569802,SWOCNCN,25/12/13
8143429,15669777,SWNRSWS,05/03/14
7705323,15669764,SWNOCER,19/01/13
8344473,7586497,SWHCCEO,02/12/13
7608368,34986328,SWRCSSC,04/05/13
8195870,7569799,SSLLZCO,31/01/14
8213907,15669863,SSNZRZN,08/02/14
8148898,15669772,SWOREWH,07/03/14
8275225,15669777,SWHECOO,05/01/14
8096786,7625765,SSLLLRR,13/03/14
7682148,15670144,SWEEWEL,09/03/13
7517068,15668462,SSWWENC,14/07/13
7782046,15669998,SWNHZEE,04/11/12
8218184,15669837,SWHLRZO,10/02/14
7707108,15668381,SWONWWS,22/01/13
7501860,15668451,SWNNZHH,13/08/13
8253846,15669780,SWECOEO,27/01/14
8210933,15669866,SSWCZOC,06/02/14
7830638,7586553,SWLSZWZ,02/10/12
7793755,7590866,SWLWCLW,25/11/12
7783137,15669824,SWOERZO,05/11/12
8075456,21408942,SWNRLEZ,01/04/14
7368676,15670267,SWHCZWL,29/10/13
8087495,34989595,SSCZRCZ,05/04/14
8177589,15668375,SSOSHZS,20/02/14
7656814,15668379,SWNSONN,16/04/13
8141498,15669857,SWLRHRL,04/03/14
8279511,15669769,SWNHHRL,06/01/14
7387995,15669770,SSRSNWR,01/10/13
7485532,7572300,SWRNESE,03/08/13
7470681,34986112,SWLSZSE,03/09/13
8087274,15669777,SSNNLRW,05/04/14
8080057,15668378,SSCLSCL,03/04/14
8081235,15669767,SSWRLOE,03/04/14
8342762,15669808,SSWZRHL,02/12/13
8176873,7572303,SWHHREO,21/02/14
8273931,15669832,SSZSRHO,05/01/14
7452011,7586502,SWHSESE,24/08/13
7752825,15669778,SWNSSEW,30/12/12
8144965,15669818,SSCHNCE,06/03/14
8093760,34986130,SSESNZL,11/03/14
8158818,15668378,SWRLSWR,11/03/14
8105118,15669772,SWHCZNL,17/03/14
7603462,15669865,SWLERHS,28/04/13
8219465,15668451,SSNSCNE,09/02/14
8108141,15669859,SSRCEWZ,19/03/14
8141498,15669832,SWLRHRL,04/03/14
8378408,15668465,SSWLNRZ,15/11/13
7482551,21408952,SWHWNWL,02/08/13
8084238,7575497,SSZZWOR,05/04/14
8241466,15669996,SWCLCLW,21/01/14
8322799,7653522,SWOCNCN,25/12/13
8145688,15669772,SSSHCLH,05/03/14
8138811,15669764,SWELRWN,03/03/14
8348918,15669783,SSSSONE,04/12/13
7462903,15668379,SSSESRC,30/08/13
7618684,7570493,SWOCCHL,10/05/13
7754398,15670163,SWOEORS,31/12/12
8065395,15668460,SSZHLRN,28/03/14
8282484,15669823,SSSCNCC,09/01/14
8061163,15669817,SWOEOHC,27/03/14
7703517,15669781,SWNNNNE,17/01/13
7752825,15669832,SWNSSEW,30/12/12
8112726,7593949,SWREHOR,20/03/14
8194178,15668595,SWOOLLE,30/01/14
8253846,15669988,SWECOEO,27/01/14
7406752,15668468,SSSHZHS,05/09/13
7544462,15669880,SWCRRCE,19/06/13
8150141,21408952,SWHHSNW,08/03/14
8279743,15669988,SWCCLHS,07/01/14
7782046,15669859,SWNHZEE,04/11/12
8284427,15669864,SSZLWOS,09/01/14
8069362,15669880,SSRENSZ,30/03/14
8191841,15669856,SWLWCHH,26/02/14
8122275,15669818,SSSCOCW,24/03/14
7531263,15668462,SWEEZCC,22/07/13
8269483,34992815,SSNERHE,02/01/14
8352895,15669832,SSRSRSO,06/12/13
8106023,15669772,SSLOEEO,17/03/14
7440894,7569801,SSWZHRR,16/08/13
8078249,7594817,SWNHHOE,02/04/14
8064480,15669799,SSRCENS,28/03/14
8082957,15670009,SWNCOOR,04/04/14
8134370,15669881,SWOSCLN,03/03/14
8081317,15669996,SWLZSNO,03/04/14
7757462,15670192,SWRLWHS,04/01/13
8271902,15669887,SWRCNLO,04/01/14
8316970,15670267,SWENWSO,22/12/13
7476772,15669988,SWCZZNN,29/07/13
7487417,15669790,SWNWHRL,04/08/13
8089133,15668381,SWONORL,06/04/14
8236676,15669869,SSSNHRZ,19/01/14
7753069,15670260,SWLEOSS,31/12/12
7730836,7629391,SWNNOWW,18/02/13
7470681,34986123,SWLSZSE,03/09/13
7580491,15668451,SWOLOOS,29/05/13
8112726,34986129,SWREHOR,20/03/14
8106887,15668378,SSSOOZC,17/03/14
7439628,7587673,SSZZLHW,16/08/13
8069362,15668460,SSRENSZ,30/03/14
7728660,15670157,SWOZOSC,16/02/13
7826710,7572240,SWNWSCO,25/09/12
7473154,15669880,SWCRZCH,27/07/13
8105205,15669829,SWRNHCS,17/03/14
8083432,15668381,SSLLLZC,04/04/14
8191090,15670250,SSWNLNH,26/02/14
7738863,15668451,SWOHOER,11/12/12
8353591,15669869,SSSNZHO,06/12/13
7533198,15668379,SSSZWHO,23/07/13
8176127,15668381,SWNLWHR,19/02/14
7682148,15668379,SWEEWEL,09/03/13
7485532,7586504,SWRNESE,03/08/13
8287030,15669761,SWOHOZL,10/01/14
7399616,15670251,SSLWESH,08/10/13
8202458,15668375,SSRCRSO,03/02/14
7517755,15668478,SSZEWNZ,14/07/13
8097385,7608483,SSENHNN,13/03/14
8079264,7630963,SWNEHSL,02/04/14
8346285,34986130,SWHENWW,03/12/13
8378408,15668375,SSWLNRZ,15/11/13
7618134,15668379,SWLWNWH,08/05/13
8078727,15669970,SSHOZRZ,03/04/14
7748353,15668460,SWNROCL,22/12/12
8192504,15668688,SWESLWC,29/01/14
8321717,15669772,SWLOREE,25/12/13
8116158,15669760,SSCSLSN,21/03/14
8352895,15669819,SSRSRSO,06/12/13
8080311,15669783,SSZCWCC,03/04/14
8116158,34987566,SSCSLSN,21/03/14
8112695,7587494,SWLNCNW,20/03/14
8128430,15668460,SWCEHCR,27/02/14
8079315,7598777,SSSHNNH,02/04/14
8099163,15670269,SSRCCNE,14/03/14
8089518,15669817,SSWOSRE,06/04/14
7410387,93176431,SWOWNNR,06/09/13
7721190,15668685,SWOHCHL,09/02/13
8230221,21409130,SSNLCOZ,15/01/14
8241466,15668379,SWCLCLW,21/01/14
8268678,7572311,SSWNEHR,01/01/14
7850334,15668452,SWLLZEO,15/05/12
8279863,15669763,SWNRHOZ,07/01/14
8262498,21408942,SWRHZSH,29/12/13
8258691,34992815,SSZNWWS,27/12/13
8071210,15669764,SWNORRH,31/03/14
8131723,15668379,SWNRNSO,01/03/14
7603462,15668448,SWLERHS,28/04/13
8084306,15669770,SWOCZER,04/04/14
8089417,15670252,SWCCRWR,06/04/14
7362980,15669977,SWEOLLO,26/10/13
8064972,7580802,SSORZCC,28/03/14
8084238,15668520,SSZZWOR,05/04/14
8079264,15669829,SWNEHSL,02/04/14
8080596,15669760,SSNLZHH,03/04/14
8136393,15669870,SSWWNCH,02/03/14
7850334,15668474,SWLLZEO,15/05/12
7631002,15668381,SWHRWCO,19/05/13
7551502,92380533,SWLNLLZ,24/06/13
8131359,15668453,SWHRCEO,28/02/14
8247161,15668381,SWONLWN,23/01/14
8065502,15669763,SWHOORR,29/03/14
7757206,15668459,SWOCOOS,05/01/13
8106290,15668466,SWLCEZW,17/03/14
8258691,15668467,SSZNWWS,27/12/13
7558409,7593949,SWLRNLH,29/06/13
7527581,15669871,SWCCOLE,20/07/13
8304435,15669885,SWOZELS,15/12/13
8130134,15668377,SWONECO,27/02/14
7618684,7624786,SWOCCHL,10/05/13
8199996,7587494,SWRHNSN,02/02/14
8279863,15669857,SWNRHOZ,07/01/14
8282341,15668460,SSRORNN,08/01/14
8077922,34986125,SWNNRHE,02/04/14
8204185,15669821,SSRZHCC,04/02/14
8061159,15668594,SWHRRNR,26/03/14
8065445,7753743,SSHCESW,28/03/14
8074318,34987224,SSHCNOH,02/04/14
8125808,7753734,SWRHZOO,26/03/14
8265546,7570762,SWNCLZZ,30/12/13
8262498,15669869,SWRHZSH,29/12/13
8079315,7593949,SSSHNNH,02/04/14
8106023,15668468,SSLOEEO,17/03/14
7344710,15668462,SWRHERW,15/10/13
8101071,15668687,SSEHLRW,15/03/14
7671910,15668688,SWLLZEH,27/02/13
8109885,15669767,SWCHLSS,18/03/14
8245100,34986120,SSCLWOR,22/01/14
7700376,15668381,SWEEOEO,26/03/13
8270508,6884195,SWOCEOZ,02/01/14
8133880,15668478,SSLWESO,01/03/14
7699855,15668462,SWOHOZR,27/03/13
7406145,15669880,SWLSWLN,04/09/13
7783825,15668379,SWNSRNC,08/11/12
8067980,15669863,SSOSOCH,29/03/14
8153266,93134499,SSZLEOL,09/03/14
8081573,15668451,SWORNSW,04/04/14
8256932,15669818,SWORCOW,29/01/14
8061159,15668465,SWHRRNR,26/03/14
8353451,15668381,SSNOWZE,06/12/13
7457237,15669856,SWOLONZ,27/08/13
8180759,15669860,SSWWLCZ,22/02/14
8263472,7637309,SSLSWRE,30/12/13
7544462,34986135,SWCRRCE,19/06/13
7452011,7572304,SWHSESE,24/08/13
7397516,15669783,SWLEOEC,07/10/13
8075506,15669764,SSRZHHN,01/04/14
8157592,15669873,SSZRWON,11/03/14
8385399,34986075,SSZHOER,18/11/13
7764985,15668688,SWOHWWN,12/01/13
7753069,15670160,SWLEOSS,31/12/12
8157592,15669810,SSZRWON,11/03/14
8074454,7625765,SWOWSZW,01/04/14
8275225,15670269,SWHECOO,05/01/14
8269393,15669767,SSSCNRE,02/01/14
8090614,15669777,SWOERWC,07/04/14
7825117,15668378,SWLHCLH,17/09/12
7752825,15669767,SWNSSEW,30/12/12
8135835,15669787,SSZEWOW,02/03/14
8108886,15669830,SWLHONH,18/03/14
8061560,15668381,SSWLLSL,26/03/14
8145688,15668475,SSSHCLH,05/03/14
8096305,15669781,SSNEHZR,12/03/14
8089497,15669778,SWHOECO,06/04/14
8341901,15669773,SSRENRS,01/12/13
8236676,15669772,SSSNHRZ,19/01/14
7813835,15669885,SWNLOLC,23/08/12
8138170,15669856,SWEWHLO,04/03/14
8192768,15668688,SSNWCSH,29/01/14
8345860,15669831,SSLLRLL,03/12/13
7389900,7569801,SSZEESN,02/10/13
7559166,15668462,SWOOOLL,29/06/13
8124751,15668468,SSNLSZE,25/03/14
8109885,15669780,SWCHLSS,18/03/14
8333457,15668375,SSZRSZL,27/11/13
7362980,7572300,SWEOLLO,26/10/13
8129915,15668377,SWEORLR,28/02/14
8089518,15669799,SSWOSRE,06/04/14
8127819,15669801,SWECRER,27/02/14
8099217,7599091,SSRLORR,14/03/14
8082175,15669764,SSSEWLS,04/04/14
7604413,15668688,SWNOLEE,28/04/13
8201012,15669811,SSLLWWZ,02/02/14
8355249,7575499,SSNENRR,08/12/13
8075456,34987566,SWNRLEZ,01/04/14
8089133,7689353,SWONORL,06/04/14
8112695,7587655,SWLNCNW,20/03/14
8123487,15668458,SSLSLHL,26/03/14
8230221,15669857,SSNLCOZ,15/01/14
7821280,7572303,SWLLZCE,09/09/12
8096305,15669776,SSNEHZR,12/03/14
7515099,7548498,SWHLSNW,12/07/13
8205042,15669763,SSSNESR,04/02/14
8282484,92383200,SSSCNCC,09/01/14
8237822,15668466,SSNZCOL,19/01/14
7779672,93289485,SWLNLSH,01/11/12
7605272,15669780,SWOZLCN,29/04/13
7830364,15668378,SWNECLZ,05/10/12
8268096,15669811,SWCWNCO,01/01/14
8254821,15668416,SWNHEEW,28/01/14
8348887,15670269,SWNLNRZ,04/12/13
7793755,7653522,SWLWCLW,25/11/12
7782046,15670174,SWNHZEE,04/11/12
7366964,15669792,SWELEWW,29/10/13
8138170,15669873,SWEWHLO,04/03/14
7551396,15668688,SWNNNER,24/06/13
7756215,15668379,SWNNZOR,04/01/13
8322799,15669866,SWOCNCN,25/12/13
8336683,7572430,SWNCNOL,29/11/13
8084238,15669792,SSZZWOR,05/04/14
7353545,15669762,SWHZENC,21/10/13
8245697,15669832,SSWCEEO,23/01/14
8256966,15669814,SSNNSRR,29/01/14
8283998,15668468,SSLRELN,09/01/14
7348817,21408952,SSSELNE,17/10/13
7853559,15669869,SWLHSRS,29/05/12
8265546,15668380,SWNCLZZ,30/12/13
7440894,15669883,SSWZHRR,16/08/13
8074454,15669769,SWOWSZW,01/04/14
8105205,15669856,SWRNHCS,17/03/14
7813835,15669880,SWNLOLC,23/08/12
8250106,7624792,SSWHRZZ,25/01/14
7826605,7632452,SWNRWOH,24/09/12
7486173,15669808,SSZLZRN,03/08/13
8133880,7587698,SSLWESO,01/03/14
8127465,34986112,SSEWSRE,26/02/14
7421133,15668478,SWEHORE,13/09/13
8331712,15668379,SSZWOEE,26/11/13
8200309,15669872,SWOORON,02/02/14
8262498,34992815,SWRHZSH,29/12/13
8141684,15669954,SSNCONE,04/03/14
8070264,7572432,SSRWCWC,30/03/14
8230690,7642814,SSWREEE,14/01/14
7798184,7630965,SWOSLLW,02/12/12
8205042,15668378,SSSNESR,04/02/14
7406752,15669859,SSSHZHS,05/09/13
7504989,15668468,SWLECZN,06/07/13
7762269,15670250,SWLLWNL,10/01/13
8256944,15669814,SSSZCHS,29/01/14
7476405,15669885,SWCRLZN,29/07/13
8353451,15668375,SSNOWZE,06/12/13
8090614,15669790,SWOERWC,07/04/14
7768104,7735781,SWLWNZW,08/10/12
8106023,15670253,SSLOEEO,17/03/14
8223433,15670260,SSZNOWR,11/02/14
8096457,15670144,SWEOOLR,12/03/14
8072719,15668379,SWNZOLC,31/03/14
8101071,15669988,SSEHLRW,15/03/14
8341901,7572252,SSRENRS,01/12/13
8109601,15669795,SSEWSWC,18/03/14
8101260,15668455,SSNORLN,15/03/14
7387995,15669957,SSRSNWR,01/10/13
7764318,15668473,SWNCZWO,12/01/13
8342762,15668462,SSWZRHL,02/12/13
8095702,15669819,SWRLOEC,12/03/14
7551502,15668477,SWLNLLZ,24/06/13
8190023,15670157,SSRHCRS,26/02/14
8109885,21408947,SWCHLSS,18/03/14
8076206,15669764,SWOEZES,01/04/14
8118745,15669885,SSZLLON,23/03/14
8353591,7575499,SSSNZHO,06/12/13
8075456,34986119,SWNRLEZ,01/04/14
8081317,15669775,SWLZSNO,03/04/14
8304435,15668378,SWOZELS,15/12/13
8353591,15670267,SSSNZHO,06/12/13
8122589,34987614,SWOOLZW,24/03/14
8106238,15669761,SSWOOZW,17/03/14
8089178,34987566,SWCNZWC,06/04/14
8356860,15669821,SWOSECL,01/11/13
8097385,15669872,SSENHNN,13/03/14
8141867,15669771,SSSLOHO,04/03/14
7410387,7640186,SWOWNNR,06/09/13
8108141,7572303,SSRCEWZ,19/03/14
7587814,15668381,SWCSEHL,03/06/13
7654205,15669887,SWRHNWW,13/04/13
8237822,7580804,SSNZCOL,19/01/14
8134370,15669817,SWOSCLN,03/03/14
8193965,15669887,SWLWNLC,30/01/14
8078727,15669824,SSHOZRZ,03/04/14
8218184,7572301,SWHLRZO,10/02/14
7756215,15668689,SWNNZOR,04/01/13
8236542,34986135,SSZEWNH,18/01/14
7694372,15670248,SWLHHWS,21/03/13
7626754,7753740,SWNZLOO,15/05/13
8148898,15668377,SWOREWH,07/03/14
8309697,15668378,SSWLNWS,17/12/13
8081573,15668379,SWORNSW,04/04/14
7599737,15669866,SWCOLWE,11/06/13
8188075,15669765,SSLSZNC,25/02/14
7460826,15669856,SSWLWNZ,28/08/13
7757206,15668379,SWOCOOS,05/01/13
7481636,34986123,SWCRRLL,01/08/13
7764086,15668451,SWLEWSE,13/01/13
8066070,15669871,SSCZESH,30/03/14
8356240,15668520,SWHNLCN,02/11/13
7764318,15668467,SWNCZWO,12/01/13
8181093,15668449,SSRHSRW,22/02/14
8158818,15668478,SWRLSWR,11/03/14
8182845,15668688,SWHOOOO,23/02/14
8215172,15668381,SWNLHOO,08/02/14
8342609,15669868,SWLCOHC,01/12/13
8119388,15669821,SWLSCLN,23/03/14
8120435,15669772,SWHRZSW,23/03/14
8075344,7569805,SWOSZOL,01/04/14
8265546,92388173,SWNCLZZ,30/12/13
8083432,15669823,SSLLLZC,04/04/14
7690884,15668520,SWOSSRS,17/03/13
7808939,15668453,SWNHESZ,07/08/12
8061560,15670171,SSWLLSL,26/03/14
8070847,15669810,SWRNEHZ,30/03/14
8158818,7627860,SWRLSWR,11/03/14
7826605,15669780,SWNRWOH,24/09/12
8333457,15669799,SSZRSZL,27/11/13
8123487,15669856,SSLSLHL,26/03/14
8273657,15669767,SWNRZEW,03/01/14
7389900,15669764,SSZEESN,02/10/13
8066070,15669885,SSCZESH,30/03/14
8104047,15669873,SWOZECO,16/03/14
8296564,15669777,SWNRCHO,11/12/13
8126177,15668467,SWLZLWS,26/03/14
8074536,15669884,SSEOLNO,02/04/14
8282484,15669856,SSSCNCC,09/01/14
7482551,15669799,SWHWNWL,02/08/13
8255466,15668380,SSWWZNR,28/01/14
8119882,15668460,SSSORWE,23/03/14
8124069,7578341,SSONROH,25/03/14
8074820,92436884,SWCRWEH,04/04/14
8107580,15669780,SSZNNNN,17/03/14
8089133,15669856,SWONORL,06/04/14
8133653,7613349,SSERELN,01/03/14
8074454,15668542,SWOWSZW,01/04/14
8071554,15668379,SSCESNS,01/04/14
8269483,15669859,SSNERHE,02/01/14
8083357,15669856,SSSHLNW,04/04/14
8144965,15669776,SSCHNCE,06/03/14
8279511,7613346,SWNHHRL,06/01/14
7764985,15668381,SWOHWWN,12/01/13
7635812,93141022,SWCWSZR,27/03/13
8190023,15668377,SSRHCRS,26/02/14
8273657,15669880,SWNRZEW,03/01/14
8195898,7624790,SSCLLWS,31/01/14
8083038,15670267,SSCWNSN,04/04/14
8094384,15670269,SSSEWCH,11/03/14
8227029,15669817,SSZNOHH,13/01/14
7368676,15669881,SWHCZWL,29/10/13
8080596,15669786,SSNLZHH,03/04/14
8080319,15669776,SSNSECH,03/04/14
7387521,15669769,SSSRREW,01/10/13
7403298,7624788,SWLSLCC,10/10/13
8159930,7594821,SWLRHOW,12/02/14
8269031,7628085,SWRLHOS,02/01/14
8104047,15669771,SWOZECO,16/03/14
7384012,15668379,SWHRSRR,29/09/13
8114869,15669780,SSRZESC,21/03/14
8352895,29247044,SSRSRSO,06/12/13
8083357,7578347,SSSHLNW,04/04/14
7660824,15668458,SWORLSW,20/04/13
8098117,15669878,SWNEWRZ,14/03/14
7809643,15669860,SWLHWZE,08/08/12
8069966,15669970,SSCEHNS,30/03/14
8247009,7572252,SWOWWLL,25/01/14
8149114,7598777,SSLLREN,07/03/14
8074820,6884195,SWCRWEH,04/04/14
8356860,15669803,SWOSECL,01/11/13
8296564,7627860,SWNRCHO,11/12/13
8100379,7593949,SSRRHLE,14/03/14
8083255,15668378,SSHHZRO,06/04/14
8101152,15669789,SWRHRLL,16/03/14
8089518,21409004,SSWOSRE,06/04/14
8124069,15668478,SSONROH,25/03/14
8273464,15669884,SWECCLC,04/01/14
7604413,7704153,SWNOLEE,28/04/13
8106238,7587658,SSWOOZW,17/03/14
7764086,15669884,SWLEWSE,13/01/13
8205178,15669815,SSWEZCZ,04/02/14
7765977,15668685,SWNNRHC,13/01/13
7765977,15670251,SWNNRHC,13/01/13
7853559,15668467,SWLHSRS,29/05/12
8247161,15669817,SWONLWN,23/01/14
8101071,15668468,SSEHLRW,15/03/14
7765977,15668468,SWNNRHC,13/01/13
8114312,15669780,SSOHCZO,21/03/14
8270508,15669829,SWOCEOZ,02/01/14
7443402,15668378,SWOSSZE,17/08/13
8173709,15670267,SSCRHLH,19/02/14
8263472,15669765,SSLSWRE,30/12/13
8279863,15668416,SWNRHOZ,07/01/14
8269393,21408953,SSSCNRE,02/01/14
8227029,15669857,SSZNOHH,13/01/14
8273657,15669829,SWNRZEW,03/01/14
8133089,15668451,SSECELH,01/03/14
7517755,15670157,SSZEWNZ,14/07/13
8089417,15669872,SWCCRWR,06/04/14
8153361,15669869,SWHEEOS,09/03/14
8081573,7629391,SWORNSW,04/04/14
8139913,15670267,SWHOZCE,04/03/14
8288803,15668473,SSOEHNL,11/01/14
8100379,15668477,SSRRHLE,14/03/14
8192504,7580802,SWESLWC,29/01/14
7454503,34986129,SWOWCRW,25/08/13
8110925,15668465,SSSREHN,19/03/14
7448398,15669861,SWRNCSS,20/08/13
7482551,15669821,SWHWNWL,02/08/13
7768104,15669778,SWLWNZW,08/10/12
8243363,7569802,SSZLNCH,22/01/14
8256966,34986113,SSNNSRR,29/01/14
8201012,15668378,SSLLWWZ,02/02/14
7403298,7630967,SWLSLCC,10/10/13
8070847,7570497,SWRNEHZ,30/03/14
8133089,15668379,SSECELH,01/03/14
8158818,15670270,SWRLSWR,11/03/14
8213907,15669883,SSNZRZN,08/02/14
8091884,15669767,SSEHHWW,07/04/14
7397712,15669769,SSSZHZE,07/10/13
8214422,15669859,SWHCOOW,07/02/14
8156983,7587667,SWONCSR,10/03/14
8084306,93141022,SWOCZER,04/04/14
8135835,15670267,SSZEWOW,02/03/14
8179797,15668381,SWCECSR,21/02/14
7825117,7572312,SWLHCLH,17/09/12
8345860,34986130,SSLLRLL,03/12/13
8134798,34989499,SSSHLRH,02/03/14
7821280,15669860,SWLLZCE,09/09/12
8249884,15669772,SWLOHSW,25/01/14
7801245,15669815,SWLOCLW,16/07/12
7460826,15669860,SSWLWNZ,28/08/13
8074454,15670267,SWOWSZW,01/04/14
7607068,7630967,SWOSCER,29/04/13
8200309,15669958,SWOORON,02/02/14
8070264,7623116,SSRWCWC,30/03/14
8282484,15669860,SSSCNCC,09/01/14
7421133,34987220,SWEHORE,13/09/13
8218426,7569801,SWOOHLC,10/02/14
7533198,15668685,SSSZWHO,23/07/13
8205178,34986123,SSWEZCZ,04/02/14
8106715,15669878,SSNOSCZ,18/03/14
8078249,15669856,SWNHHOE,02/04/14
8136393,7570497,SSWWNCH,02/03/14
7516989,7575497,SWRHHWL,13/07/13
8081235,15669782,SSWRLOE,03/04/14
7377566,15668380,SWRHCCH,26/09/13
8061961,15668467,SSSCOOH,27/03/14
8071092,15669789,SSLNESH,30/03/14
8106451,7585571,SSCSENO,17/03/14
8274447,7625765,SWNNSSH,04/01/14
8273464,15669780,SWECCLC,04/01/14
8355249,7613347,SSNENRR,08/12/13
7703517,15669832,SWNNNNE,17/01/13
8133653,21409004,SSERELN,01/03/14
7366964,15668468,SWELEWW,29/10/13
7412276,15669869,SWCOSLL,07/09/13
8092443,21408952,SWOZSCZ,07/04/14
8096457,15668520,SWEOOLR,12/03/14
8195898,15668377,SSCLLWS,31/01/14
8116158,15669881,SSCSLSN,21/03/14
8245100,15668451,SSCLWOR,22/01/14
8236676,34986112,SSSNHRZ,19/01/14
8101071,15669772,SSEHLRW,15/03/14
8282484,15669861,SSSCNCC,09/01/14
7551502,15670157,SWLNLLZ,24/06/13
8151550,15669805,SWECZOC,09/03/14
8105205,15669878,SWRNHCS,17/03/14
7450162,15668495,SWOZZCZ,22/08/13
7486173,15668378,SSZLZRN,03/08/13
8141498,15669874,SWLRHRL,04/03/14
7749985,15668478,SWLRHSR,26/12/12
8074475,7640186,SWNRLOS,01/04/14
7608368,15669761,SWRCSSC,04/05/13
8106290,92302710,SWLCEZW,17/03/14
8150141,15669878,SWHHSNW,08/03/14
7345164,7689353,SWCENNH,16/10/13
8129915,15669872,SWEORLR,28/02/14
8101813,15668462,SSOHWHC,15/03/14
8268678,15669859,SSWNEHR,01/01/14
8183211,15668379,SSCNLEC,23/02/14
7583327,15669866,SWOCOEN,31/05/13
